1,Categoria 84920,url_68310,2020-01-06 19:55:22,2020-01-06 19:55:22
2,Categoria 77621,url_82861,2020-01-06 19:55:22,2020-01-06 19:55:22
3,Categoria 99946,url_70177,2020-01-06 19:55:22,2020-01-06 19:55:22
4,Categoria 62712,url_98254,2020-01-06 19:55:24,2020-01-06 19:55:24
5,Categoria 97045,url_96267,2020-01-06 19:55:24,2020-01-06 19:55:24
6,Categoria 80483,url_80068,2020-01-06 19:55:24,2020-01-06 19:55:24
7,Categoria 67175,url_78383,2020-01-06 19:55:24,2020-01-06 19:55:24
8,Categoria 59208,url_75670,2020-01-06 19:55:24,2020-01-06 19:55:24
9,Categoria 56086,url_69828,2020-01-06 19:55:24,2020-01-06 19:55:24
10,Categoria 81834,url_71428,2020-01-06 19:55:24,2020-01-06 19:55:24
11,Categoria 87636,url_97347,2020-01-06 19:55:24,2020-01-06 19:55:24
12,Categoria 92085,url_77251,2020-01-06 19:55:24,2020-01-06 19:55:24
13,Categoria 56941,url_76484,2020-01-06 19:55:24,2020-01-06 19:55:24
14,Categoria 74918,url_68038,2020-01-06 19:55:24,2020-01-06 19:55:24
15,Categoria 77334,url_79511,2020-01-06 19:55:26,2020-01-06 19:55:26
16,Categoria 85670,url_71105,2020-01-06 19:55:26,2020-01-06 19:55:26
17,Categoria 81297,url_68996,2020-01-06 19:55:26,2020-01-06 19:55:26
18,Categoria 84677,url_92871,2020-01-06 19:55:26,2020-01-06 19:55:26
19,Categoria 78699,url_77849,2020-01-06 19:55:26,2020-01-06 19:55:26
20,Categoria 56327,url_81244,2020-01-06 19:55:26,2020-01-06 19:55:26
21,Categoria 81291,url_84560,2020-01-06 19:55:26,2020-01-06 19:55:26
22,Categoria 70585,url_90912,2020-01-06 19:55:26,2020-01-06 19:55:26
23,Categoria 87158,url_93387,2020-01-06 19:55:26,2020-01-06 19:55:26
24,Categoria 69722,url_85287,2020-01-06 19:55:26,2020-01-06 19:55:26
25,Categoria 90434,url_91510,2020-01-06 19:55:27,2020-01-06 19:55:27
26,Categoria 70479,url_92549,2020-01-06 19:55:27,2020-01-06 19:55:27
27,Categoria 84940,url_68265,2020-01-06 19:55:28,2020-01-06 19:55:28
28,Categoria 65162,url_94121,2020-01-06 19:55:28,2020-01-06 19:55:28
29,Categoria 83473,url_76808,2020-01-06 19:55:28,2020-01-06 19:55:28
30,Categoria 72109,url_93754,2020-01-06 19:55:28,2020-01-06 19:55:28
31,Categoria 64875,url_69058,2020-01-06 19:55:28,2020-01-06 19:55:28
32,Categoria 96162,url_98487,2020-01-06 19:55:29,2020-01-06 19:55:29
33,Categoria 86504,url_71354,2020-01-06 19:55:29,2020-01-06 19:55:29
34,Categoria 91043,url_86761,2020-01-06 19:55:29,2020-01-06 19:55:29
35,Categoria 98648,url_78234,2020-01-06 19:55:29,2020-01-06 19:55:29
36,Categoria 79731,url_92354,2020-01-06 19:55:29,2020-01-06 19:55:29
37,Categoria 81707,url_84494,2020-01-06 19:55:29,2020-01-06 19:55:29
38,Categoria 86219,url_69576,2020-01-06 19:55:29,2020-01-06 19:55:29
39,Categoria 79427,url_94294,2020-01-06 19:55:29,2020-01-06 19:55:29
40,Categoria 64331,url_87755,2020-01-06 19:55:29,2020-01-06 19:55:29
41,Categoria 74017,url_72916,2020-01-06 19:55:29,2020-01-06 19:55:29
42,Categoria 96743,url_75487,2020-01-06 19:55:29,2020-01-06 19:55:29
43,Categoria 82475,url_97051,2020-01-06 19:55:30,2020-01-06 19:55:30
44,Categoria 60853,url_90252,2020-01-06 19:55:30,2020-01-06 19:55:30
45,Categoria 60635,url_81958,2020-01-06 19:55:30,2020-01-06 19:55:30
46,Categoria 90176,url_82796,2020-01-06 19:55:30,2020-01-06 19:55:30
47,Categoria 68977,url_71987,2020-01-06 19:55:31,2020-01-06 19:55:31
48,Categoria 86536,url_71423,2020-01-06 19:55:31,2020-01-06 19:55:31
49,Categoria 62929,url_97072,2020-01-06 19:55:31,2020-01-06 19:55:31
50,Categoria 85357,url_96329,2020-01-06 19:55:31,2020-01-06 19:55:31
51,Categoria 82267,url_87086,2020-01-06 19:55:31,2020-01-06 19:55:31
52,Categoria 67307,url_82955,2020-01-06 19:55:31,2020-01-06 19:55:31
53,Categoria 57889,url_81667,2020-01-06 19:55:31,2020-01-06 19:55:31
54,Categoria 88551,url_90962,2020-01-06 19:55:31,2020-01-06 19:55:31
55,Categoria 74142,url_75189,2020-01-06 19:55:31,2020-01-06 19:55:31
56,Categoria 66343,url_94522,2020-01-06 19:55:31,2020-01-06 19:55:31
57,Categoria 91751,url_74235,2020-01-06 19:55:31,2020-01-06 19:55:31
58,Categoria 98879,url_75708,2020-01-06 19:55:33,2020-01-06 19:55:33
59,Categoria 76421,url_86826,2020-01-06 19:55:33,2020-01-06 19:55:33
60,Categoria 95115,url_91001,2020-01-06 19:55:33,2020-01-06 19:55:33
61,Categoria 62964,url_85121,2020-01-06 19:55:33,2020-01-06 19:55:33
62,Categoria 94486,url_76361,2020-01-06 19:55:33,2020-01-06 19:55:33
63,Categoria 64946,url_67963,2020-01-06 19:55:33,2020-01-06 19:55:33
64,Categoria 74826,url_80289,2020-01-06 19:55:33,2020-01-06 19:55:33
65,Categoria 63708,url_73587,2020-01-06 19:55:34,2020-01-06 19:55:34
66,Categoria 87725,url_92269,2020-01-06 19:55:34,2020-01-06 19:55:34
67,Categoria 91311,url_86774,2020-01-06 19:55:34,2020-01-06 19:55:34
68,Categoria 97557,url_82058,2020-01-06 19:55:34,2020-01-06 19:55:34
69,Categoria 65332,url_69599,2020-01-06 19:55:34,2020-01-06 19:55:34
70,Categoria 56006,url_75494,2020-01-06 19:55:34,2020-01-06 19:55:34
71,Categoria 89519,url_69616,2020-01-06 19:55:35,2020-01-06 19:55:35
72,Categoria 77364,url_92259,2020-01-06 19:55:35,2020-01-06 19:55:35
73,Categoria 97384,url_70068,2020-01-06 19:55:35,2020-01-06 19:55:35
74,Categoria 78369,url_74186,2020-01-06 19:55:35,2020-01-06 19:55:35
75,Categoria 92081,url_96025,2020-01-06 19:55:35,2020-01-06 19:55:35
76,Categoria 90807,url_75965,2020-01-06 19:55:35,2020-01-06 19:55:35
77,Categoria 80178,url_71770,2020-01-06 19:55:35,2020-01-06 19:55:35
78,Categoria 55689,url_94085,2020-01-06 19:55:36,2020-01-06 19:55:36
79,Categoria 86187,url_71157,2020-01-06 19:55:36,2020-01-06 19:55:36
80,Categoria 97963,url_91705,2020-01-06 19:55:36,2020-01-06 19:55:36
81,Categoria 84112,url_70927,2020-01-06 19:55:36,2020-01-06 19:55:36
82,Categoria 70268,url_83273,2020-01-06 19:55:36,2020-01-06 19:55:36
83,Categoria 71968,url_83245,2020-01-06 19:55:36,2020-01-06 19:55:36
84,Categoria 58983,url_78378,2020-01-06 19:55:37,2020-01-06 19:55:37
85,Categoria 97835,url_97816,2020-01-06 19:55:37,2020-01-06 19:55:37
86,Categoria 72388,url_98820,2020-01-06 19:55:37,2020-01-06 19:55:37
87,Categoria 68767,url_83282,2020-01-06 19:55:37,2020-01-06 19:55:37
88,Categoria 66641,url_86945,2020-01-06 19:55:37,2020-01-06 19:55:37
89,Categoria 87749,url_97631,2020-01-06 19:55:37,2020-01-06 19:55:37
90,Categoria 56296,url_87324,2020-01-06 19:55:37,2020-01-06 19:55:37
91,Categoria 96931,url_86832,2020-01-06 19:55:38,2020-01-06 19:55:38
92,Categoria 59122,url_73509,2020-01-06 19:55:38,2020-01-06 19:55:38
93,Categoria 68592,url_97118,2020-01-06 19:55:38,2020-01-06 19:55:38
94,Categoria 74332,url_68441,2020-01-06 19:55:38,2020-01-06 19:55:38
95,Categoria 81293,url_72478,2020-01-06 19:55:39,2020-01-06 19:55:39
96,Categoria 84620,url_85591,2020-01-06 19:55:40,2020-01-06 19:55:40
97,Categoria 70705,url_86415,2020-01-06 19:55:41,2020-01-06 19:55:41
98,Categoria 74588,url_72376,2020-01-06 19:55:41,2020-01-06 19:55:41
99,Categoria 72657,url_86169,2020-01-06 19:55:42,2020-01-06 19:55:42
100,Categoria 82529,url_96075,2020-01-06 19:55:42,2020-01-06 19:55:42
101,Categoria 66956,url_74849,2020-01-06 19:55:42,2020-01-06 19:55:42
102,Categoria 95095,url_72198,2020-01-06 19:55:42,2020-01-06 19:55:42
103,Categoria 61624,url_91312,2020-01-06 19:55:42,2020-01-06 19:55:42
104,Categoria 80995,url_91960,2020-01-06 19:55:43,2020-01-06 19:55:43
105,Categoria 88358,url_75865,2020-01-06 19:55:44,2020-01-06 19:55:44
106,Categoria 90793,url_71147,2020-01-06 19:55:44,2020-01-06 19:55:44
107,Categoria 78329,url_99448,2020-01-06 19:55:44,2020-01-06 19:55:44
108,Categoria 96271,url_78905,2020-01-06 19:55:45,2020-01-06 19:55:45
109,Categoria 87948,url_99477,2020-01-06 19:55:45,2020-01-06 19:55:45
110,Categoria 61039,url_78274,2020-01-06 19:55:45,2020-01-06 19:55:45
111,Categoria 68989,url_71491,2020-01-06 19:55:45,2020-01-06 19:55:45
112,Categoria 60245,url_80939,2020-01-06 19:55:45,2020-01-06 19:55:45
113,Categoria 61077,url_95274,2020-01-06 19:55:45,2020-01-06 19:55:45
114,Categoria 92849,url_84368,2020-01-06 19:55:45,2020-01-06 19:55:45
115,Categoria 56868,url_92801,2020-01-06 19:55:45,2020-01-06 19:55:45
116,Categoria 73850,url_98428,2020-01-06 19:55:45,2020-01-06 19:55:45
117,Categoria 89563,url_93005,2020-01-06 19:55:45,2020-01-06 19:55:45
118,Categoria 66421,url_78349,2020-01-06 19:55:45,2020-01-06 19:55:45
119,Categoria 91670,url_70165,2020-01-06 19:55:45,2020-01-06 19:55:45
120,Categoria 75879,url_82996,2020-01-06 19:55:45,2020-01-06 19:55:45
121,Categoria 98280,url_88627,2020-01-06 19:55:45,2020-01-06 19:55:45
122,Categoria 70480,url_99886,2020-01-06 19:55:45,2020-01-06 19:55:45
123,Categoria 70718,url_91360,2020-01-06 19:55:45,2020-01-06 19:55:45
124,Categoria 84731,url_80540,2020-01-06 19:55:45,2020-01-06 19:55:45
125,Categoria 80000,url_75990,2020-01-06 19:55:45,2020-01-06 19:55:45
126,Categoria 57303,url_99995,2020-01-06 19:55:46,2020-01-06 19:55:46
127,Categoria 98837,url_74968,2020-01-06 19:55:46,2020-01-06 19:55:46
128,Categoria 77290,url_96849,2020-01-06 19:55:46,2020-01-06 19:55:46
